"year_week" "ranking" "change_grp" "change_val" "title" "artist" "gaon_index" "production" "distribution"
"202204" "141" "down" "27" "ASAP" "STAYC(스테이씨)" 10967626 "하이업엔터테인먼트" "Kakao Entertainment"
"202204" "142" "up" "HOT" "봄이 좋냐??" "10cm" 10904616 "매직스트로베리사운드" "포크라노스"
"202204" "143" "up" "17" "선물" "멜로망스(Melomance)" 10778746 "민트페이퍼, 광합성" "Kakao Entertainment"
"202204" "144" "down" "9" "Love poem" "아이유 (IU)" 10735480 "Kakao Entertainment" "Kakao Entertainment"
"202204" "145" "new" "new" "Arcade" "NCT DREAM" 10616410 "SM Entertainment" "Dreamus"
"202204" "146" "down" "9" "잠이 오질 않네요" "장범준" 10595187 "버스커버스커" "Kakao Entertainment"
"202204" "147" "down" "81" "너 아니면 안돼" "먼데이 키즈 (Monday Kiz)" 10497560 "방구석 캐스팅" "Kakao Entertainment"
"202204" "148" "new" "new" "As It Was" "Harry Styles" 10450099 "Columbia" "Sony Music"
"202204" "149" "down" "7" "Memories" "Maroon 5" 10436070 "222 Records/Interscope Records" "Universal Music"
"202204" "150" "down" "12" "12_45 (Stripped)" "Etham" 10264598 "Virgin EMI" "Universal Music"
"202204" "151" "new" "new" "그녀를 찾아주세요" "윤민수" 10248244 "방구석 캐스팅" "Kakao Entertainment"
"202204" "152" "new" "new" "미니카 (Drive)" "NCT DREAM" 10233173 "SM Entertainment" "Dreamus"
"202204" "153" "down" "105" "노래 (The Song)" "비투비 (BTOB)" 10093731 "큐브엔터테인먼트" "Kakao Entertainment"
"202204" "154" "down" "10" "늦은 밤 너의 집 앞 골목길에서" "노을" 10071877 "씨제스엔터테인먼트" "Kakao Entertainment"
"202204" "155" "new" "new" "너를 위한 단어 (It`s Yours)" "NCT DREAM" 9886058 "SM Entertainment" "Dreamus"
"202204" "156" "down" "26" "BOP BOP!" "VIVIZ (비비지)" 9877281 "BPM ENTERTAINMENT, SWING ENTERTAINMENT" "Kakao Entertainment"
"202204" "157" "down" "29" "WA DA DA" "Kep1er (케플러)" 9861420 "WAKEONE, 스윙엔터테인먼트" "지니뮤직, Stone Music Entertainment"
"202204" "158" "up" "14" "주저하는 연인들을 위해" "잔나비" 9772251 "페포니 뮤직" "Kakao Entertainment"
"202204" "159" "down" "35" "DUMB DUMB" "전소미" 9770125 "The Black Label" "YG PLUS"
"202204" "160" "up" "22" "Love Yourself" "Justin Bieber" 9668904 "Def Jam Recordings, a division of UMG Recordings, Inc" "Universal Music"
"202204" "161" "new" "new" "나의 X에게" "경서" 9542204 "꿈의엔진" "Kakao Entertainment"
"202204" "162" "down" "7" "Paris In The Rain" "Lauv" 9509190 "뮤직테이블" "NHN벅스"
"202204" "163" "down" "58" "시간을 거슬러 (낮에 뜨는 달 X 케이윌)" "케이윌 (K.Will)" 9482927 "TOON STUDIO" "Kakao Entertainment"
